station,history_days,pred_len,model,MAE,RMSE,NMAE,NRMSE,R2
station00,1,1,MultiStep,0.1329319179058075,0.2924656171642125,0.025583046993029917,0.05628566672045786,0.96476149559021
station00,1,1,Iterative,0.13167399168014526,0.2857095497666966,0.025340956257773356,0.054985446333649046,0.966370701789856
station00,1,16,MultiStep,0.3098951578140259,0.569575473653967,0.05964002107369194,0.10961608271454959,0.8663495182991028
station00,1,16,Iterative,0.3412577211856842,0.6406143699322306,0.06567581702999147,0.12328767829859555,0.8309320211410522
station00,1,96,MultiStep,0.371699720621109,0.6187070176579447,0.07153444838344943,0.11907155901321033,0.8422976732254028
station00,1,96,Iterative,0.4180280268192291,0.726042941150249,0.08045043525286182,0.1397285992335254,0.7828335762023926
station00,2,1,MultiStep,0.13861127197742462,0.28967250433321085,0.026676051475273146,0.055748125865424214,0.9654704928398132
station00,2,1,Iterative,0.13766659796237946,0.2948574096758118,0.026494246833463048,0.05674597257616047,0.964223325252533
station00,2,16,MultiStep,0.37515729665756226,0.6420774973563466,0.07219986667889021,0.12356926046665297,0.8301588296890259
station00,2,16,Iterative,0.4096805155277252,0.718087803513923,0.07884393790437165,0.1381976150786864,0.7875664234161377
station00,2,96,MultiStep,0.37100887298583984,0.6263728799017092,0.07140149320010032,0.12054687146723876,0.8383655548095703
station00,2,96,Iterative,0.3744625449180603,0.6650822831280088,0.0720661601418886,0.127996583300271,0.8177704811096191
station00,3,1,MultiStep,0.16177567839622498,0.3065874819050179,0.031134093661933895,0.0590034513953862,0.9613771438598633
station00,3,1,Iterative,0.13475871086120605,0.29153265883147955,0.025934617411637828,0.05610611678809505,0.9650771021842957
station00,3,16,MultiStep,0.3194548785686493,0.5887163516267656,0.06147981086352307,0.11329978778990205,0.8574004173278809
station00,3,16,Iterative,0.4660665988922119,0.7901248767395841,0.08969556664178825,0.15206131206437407,0.743139386177063
station00,3,96,MultiStep,0.3775501847267151,0.6512126596329756,0.07266038337711145,0.12532734302119455,0.825291633605957
station00,3,96,Iterative,0.3704945147037506,0.6705464157250476,0.07130250379026372,0.1290481679250053,0.8147639036178589
station00,5,1,MultiStep,0.13035649061203003,0.2924671838765114,0.025087400209911005,0.05628596823776836,0.9642801284790039
station00,5,1,Iterative,0.13933566212654114,0.2903395358288817,0.026815461990957325,0.055876497579068415,0.9647979140281677
